country,year,iso_code,population,gdp,primary_energy_consumption,energy_per_capita,fossil_fuel_consumption,fossil_share_energy,coal_consumption,oil_consumption,gas_consumption,coal_share_energy,oil_share_energy,gas_share_energy,renewables_consumption,renewables_share_energy,solar_consumption,wind_consumption,hydro_consumption,solar_share_energy,wind_share_energy,hydro_share_energy,nuclear_consumption,nuclear_share_energy,electricity_generation,electricity_per_capita,co2_emissions,co2_per_capita,development_status,gdp_per_capita
United States,2000,UNI,1331004957.5432417,26049128814665.09,196260759193.31754,147453064.0032882,147298756283.95126,75.05257642403262,54902663497.575836,49592678124.84107,38422652056.18619,27.974345826053042,25.268769125667202,19.57734812303449,807985695.6209404,0.41168988591604894,9517762196.71957,8168791233.419045,230223924.74375564,4.8495492608099715,4.162213204002109,0.11730512288347171,8477385728.847334,4.319450186421158,79476046890.7391,59711307.94090757,394743674.9118949,296575.66087545577,Developing,19571.023133337058
United States,2001,UNI,1347350668.0655742,23637992137098.46,99132465703.7882,73575846.32819843,71851535872.37292,72.48032757206727,36334874441.105934,30068640090.893353,15037813873.642075,36.65285048964282,30.331778673537347,15.169413740374086,9902374730.624971,9.989033017915308,3612373453.9523296,5018326745.300096,2771372792.050297,3.643986284721543,5.062243443328705,2.795625804699815,1690447684.3098965,1.7052412368729155,41785223550.06294,31012879.230657194,224000600.5863061,166252.63629987987,Developing,17544.05345049194
United States,2002,UNI,1348702648.1454375,25304778458474.234,52067901620.10615,38605916.35354407,39860780424.101234,76.555380923415,12506535442.943686,19207478303.71393,10035190489.762495,24.01966481037188,36.88928822953931,19.273276198031727,9897198385.477945,19.008252834326086,2565924517.642247,1501075140.7464256,3939785323.2072763,4.928035195970734,2.882918446951167,7.56662972891137,1623014164.3720872,3.1171107608941098,22519599510.60607,16697230.884488977,118366146.27546945,87762.96720276434,Developing,18762.310946204572
United States,2003,UNI,1404187761.389997,25007276079587.63,284324267652.7563,202483083.43843234,209579906901.52615,73.71157890661834,140156498610.88202,66583222138.762726,50130795392.32505,49.294595838739454,23.418058081514328,17.631557026834418,66782211714.255936,23.48804492334671,24987564739.106186,22413929315.189297,29328075530.4156,8.788403798730036,7.883227661229153,10.315009609462468,9249930803.94941,3.2533033076326436,87869123455.30856,62576477.214363016,686775563.7043309,489090.9767113309,Developing,17809.068535701434
United States,2004,UNI,1411104908.4230917,31388231112536.617,125319065466.90675,88809176.92147404,88908432246.48355,70.94565532804884,29323802014.958916,44221043741.48242,31513500799.039345,23.399314306810332,35.28676468877751,25.14661331189162,20384242291.775078,16.265874801913508,10236093687.801125,6579345766.360939,10617719506.923325,8.168025870336697,5.250075670328359,8.472549222549992,69202655.73286559,0.055221171236024,42576292340.76842,30172308.30013013,296922015.8592284,210418.1015081568,Developing,22243.726122115848
United States,2005,UNI,1508751536.2441282,34952248187953.617,255971601246.34726,169657889.38552505,202734256821.32104,79.20185514103552,111365830054.59889,74237150076.82529,43123942346.26945,43.50710372258067,29.002104028477515,16.847158878678474,37857876775.09172,14.789873794889171,19731003036.407482,16026800414.983883,20641680611.40144,7.708278160677032,6.26116347944383,8.06405105523244,8323769563.779304,3.251833220267471,92712008943.67714,61449487.68335543,621943172.9263699,412223.7213919459,Developing,23166.338093655508
United States,2006,UNI,1527724771.4792368,35482159356125.37,173533474832.91525,113589488.15426323,133512061022.84753,76.9373523761903,81226985177.53667,53239151865.77744,40660639687.58842,46.8076751507138,30.679470872716724,23.431006453791152,31865365147.177525,18.36266183101487,18934738375.534492,18432911483.88788,13527194169.170105,10.911288668520925,10.622107061266306,7.795149715174326,441106939.1121126,0.2541912674409519,66898578159.74704,43789679.53433899,476089391.6477058,311632.95937574335,Developing,23225.49193318988
United States,2007,UNI,1404398297.561639,31226122164693.62,117821117163.85019,83894374.81405023,88211020466.97192,74.86859961130702,53122480918.43751,30499810071.889004,19000299373.68505,45.08740215437078,25.886539532190874,16.12639553167869,33937179138.68082,28.803986887584365,16593085976.74349,10840728766.781069,12358331337.542416,14.083286915085008,9.20100660028983,10.489063111119602,1899527217.4860804,1.6122128725400444,42174103125.58484,30030015.842947725,276881628.826703,197153.20739667208,Developing,22234.520092276816
United States,2008,UNI,1663197709.9933298,39012381987893.97,326247942154.1635,196157041.45929345,270993483181.14642,83.0636605373874,168822452997.6378,129865025477.26167,71434070505.49606,51.74667214233747,39.80562287068647,21.895638646431976,121911713614.01189,37.36781075431408,38634089487.59354,44218680657.623505,50683197497.346344,11.841941203521088,13.55370408335898,15.53517768194742,7436337772.388325,2.279351625419417,105055225427.70102,63164604.422238134,1014068860.3977718,609710.3515142759,Developing,23456.25042259734
United States,2009,UNI,1531027206.6719828,35976127060817.734,36529555631.217064,23859507.833712447,29036282420.620136,79.48709454271761,12632120512.730766,14186603218.175484,7684178806.789455,34.58054798218168,38.835958918843346,21.035511311346987,12482555155.946514,34.17111141992457,5245564659.58873,4141652261.4012995,3095001454.801497,14.359782288471168,11.33781177962638,8.472595413004699,2568097016.87617,7.030189588951778,14749104864.950714,9633470.130822215,96389023.49673222,62957.09382346935,Developing,23498.032500036097
United States,2010,UNI,1530903598.1699073,35718473779596.83,129010108685.40596,84270563.37161197,91240317120.03305,70.72338598095797,29250870171.606842,32456853488.274788,34822156916.98766,22.67331643207568,25.158380082774407,26.99180496150288,41689321714.85495,32.31477140796408,16913668140.30604,18592237672.216267,16720403350.449814,13.110343299958299,14.411458033535848,12.960537372480548,1869290319.6446688,1.448948720912231,44884213715.98728,29318772.109258447,268787125.8250702,175574.16818824335,Developing,23331.628341781852
United States,2011,UNI,1606275766.6176999,41723935535909.56,115958608259.98969,72190971.60642672,97126542006.74532,83.75966516343387,49953139545.59869,30891869230.81737,35651316986.586525,43.078422805488685,26.640427730518297,30.744864500833824,50840990358.3183,43.844084644693396,19526172249.579636,18160891238.014126,23051909238.26479,16.838915663596264,15.661529152967898,19.879429034350192,2162842688.069351,1.8651851039985425,42227024456.33122,26288776.39438448,316237107.4905365,196875.97488719522,Developing,25975.574308617473
